challenge,model,temperature,samples,signal,noise,clipping_mean,clipping_std,clipping_count,nans_infs,nans_infs_extr,perf
distortion-adaa,human,1.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.28217172622680664
distortion-unspec,deepseek-chat,0.0,1323000,-6.06821306454382,-100.65244143408319,0.02823350764811039,0.013435589149594307,487844,0,0,1.8905398845672607
distortion-unspec,gemini-2.5-pro-preview-05-06,0.0,1323000,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086,0,0,1.399620532989502
distortion-unspec,gpt-4.1-2025-04-14,0.0,1323000,-8.14322372341599,-42.97430870922408,0.10439425706863403,0.04401066154241562,565828,0,0,0.8318135738372803
distortion-unspec,sonar-reasoning-pro,0.0,1323000,-6.242736520134038,-30.42910446851762,0.0,0.0,0,0,0,0.19289517402648926
distortion-unspec,deepseek-chat,0.01,1323000,-6.0682127428975,-100.65257698009583,0.028233513236045837,0.013435588218271732,487844,0,0,1.8861658573150635
distortion-unspec,gemini-2.5-pro-preview-05-06,0.01,1323000,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086,0,0,1.4004571437835693
distortion-unspec,gpt-4.1-2025-04-14,0.01,1323000,-6.951991753687416,-37.450884575195616,0.085319384932518,0.04233672469854355,482334,0,0,3.1587793827056885
distortion-unspec,sonar-reasoning-pro,0.01,1323000,-6.068212967689991,-29.666562650708556,0.0,0.0,0,0,0,0.6683924198150635
distortion-unspec,deepseek-chat,0.3,1323000,-6.0682127428975,-100.65257698009583,0.028233513236045837,0.013435588218271732,487844,0,0,1.9277255535125732
distortion-unspec,gemini-2.5-pro-preview-05-06,0.3,1323000,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086,0,0,1.3877084255218506
distortion-unspec,gpt-4.1-2025-04-14,0.3,1323000,-8.143284203873975,-42.97667570393949,0.10439173715317253,0.04400943478075642,565820,0,0,0.32393383979797363
distortion-unspec,sonar-reasoning-pro,0.3,1323000,-6.236018329538993,-29.876559789259378,0.0,0.0,0,0,0,0.48244547843933105
distortion-unspec,deepseek-chat,0.5,0,0.0,0.0,0.0,0.0,0,0,0,999.0
distortion-unspec,gemini-2.5-pro-preview-05-06,0.5,1323000,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086,0,0,1.3891010284423828
distortion-unspec,gpt-4.1-2025-04-14,0.5,1323000,-8.143284205203155,-42.97667555225803,0.10439174622297287,0.04400942847132683,565820,0,0,0.3441898822784424
distortion-unspec,sonar-reasoning-pro,0.5,1323000,-6.242736519534347,-30.429104454160143,0.0,0.0,0,0,0,0.12409353256225586
distortion-unspec,deepseek-chat,0.7,1323000,-11.121624749981265,-78.03273804864078,0.0,0.0,0,0,0,2.5223207473754883
distortion-unspec,gemini-2.5-pro-preview-05-06,0.7,1323000,-6.0618535440495025,-71.06278970060404,0.028065385296940804,0.013375545851886272,489086,0,0,1.3820569515228271
distortion-unspec,gpt-4.1-2025-04-14,0.7,1323000,-6.068214373176671,-29.66621436488481,0.0,0.0,0,0,0,0.9307723045349121
distortion-unspec,sonar-reasoning-pro,0.7,1323000,-6.246892935137833,-71.22442257065649,0.02538084052503109,0.013127189129590988,489500,0,0,1.5510621070861816
distortion-unspec,claude-3-7-sonnet-20250219,1.0,1323000,-6.224297864640408,-85.65613472100758,0.026318931952118874,0.01333756372332573,492356,0,0,4.051210641860962
distortion-unspec,deepseek-chat,1.0,1323000,-6.0682127428975,-100.65257698009583,0.028233513236045837,0.013435588218271732,487844,0,0,1.9241056442260742
distortion-unspec,gemini-2.5-pro-preview-05-06,1.0,1323000,-6.061853545037628,-71.06278915170049,0.028065385296940804,0.013375545851886272,489086,0,0,1.3778676986694336
distortion-unspec,gpt-4.1-2025-04-14,1.0,1323000,-8.288674037113745,-43.5588174929682,0.12269038707017899,0.05222882330417633,543168,0,0,1.0512242317199707
distortion-unspec,sonar-reasoning-pro,1.0,1323000,-6.068212835747219,-29.665996573274185,0.0,0.0,0,0,0,0.6958749294281006
distortion-noupspl,deepseek-chat,0.0,1323000,-8.084605344793175,-42.42523444944737,0.14857998490333557,0.07415401935577393,528138,0,0,0.4171121120452881
distortion-noupspl,gemini-2.5-pro-preview-05-06,0.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,0,0.3329310417175293
distortion-noupspl,gpt-4.1-2025-04-14,0.0,1323000,-7.723450602291094,-41.132742997926705,0.17177119851112366,0.07712680101394653,473206,0,0,0.36191415786743164
distortion-noupspl,sonar-reasoning-pro,0.0,1323000,-6.070087454102456,-29.68449945800955,0.0,0.0,0,0,0,0.5216546058654785
distortion-noupspl,deepseek-chat,0.01,0,0.0,0.0,0.0,0.0,0,0,0,999.0
distortion-noupspl,gemini-2.5-pro-preview-05-06,0.01,1323000,-6.070087455108462,-29.684499457710217,0.0,0.0,0,0,0,0.9798858165740967
distortion-noupspl,gpt-4.1-2025-04-14,0.01,1323000,-6.951991697687515,-37.45088348463017,0.0853194072842598,0.04233672469854355,482334,0,0,1.464956521987915
distortion-noupspl,sonar-reasoning-pro,0.01,1323000,-6.2697560840712905,-29.937805656479423,0.0,0.0,0,0,0,1.0451161861419678
distortion-noupspl,deepseek-chat,0.3,1323000,-6.223452482499948,-29.784598233284143,0.0,0.0,0,0,0,0.422778844833374
distortion-noupspl,gemini-2.5-pro-preview-05-06,0.3,1323000,-6.068212727215396,-29.666133543255675,0.0,0.0,0,0,0,0.9847073554992676
distortion-noupspl,gpt-4.1-2025-04-14,0.3,1323000,-8.14322372341599,-42.97430870922408,0.10439425706863403,0.04401066154241562,565828,0,0,0.8265137672424316
distortion-noupspl,sonar-reasoning-pro,0.3,1323000,-6.068256944782652,-29.666659473907714,0.0,0.0,0,0,0,0.2809255123138428
distortion-noupspl,deepseek-chat,0.5,1323000,-5.982571320229119,-35.30360363197096,0.0,0.0,0,0,0,10.461223840713501
distortion-noupspl,gemini-2.5-pro-preview-05-06,0.5,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4890420436859131
distortion-noupspl,gpt-4.1-2025-04-14,0.5,1323000,-6.910853260302563,-37.26334588044676,0.10629122704267502,0.08077393472194672,483852,0,0,0.7675685882568359
distortion-noupspl,sonar-reasoning-pro,0.5,1323000,-6.071721291160009,-29.703649358058843,0.0,0.0,0,0,0,1.1433498859405518
distortion-noupspl,deepseek-chat,0.7,1323000,-6.23238130004808,-29.817037214130053,0.0,0.0,0,0,0,0.14565682411193848
distortion-noupspl,gemini-2.5-pro-preview-05-06,0.7,1323000,-6.236875102975001,-30.223636756036537,0.004491218802878489,0.0028890425161497675,324662,0,0,0.810215950012207
distortion-noupspl,gpt-4.1-2025-04-14,0.7,1323000,-8.14322372341599,-42.97430870922408,0.10439425706863403,0.04401066154241562,565828,0,0,0.8271932601928711
distortion-noupspl,sonar-reasoning-pro,0.7,1323000,-6.07008745559342,-29.684499456616493,0.0,0.0,0,0,0,0.1503610610961914
distortion-noupspl,claude-3-7-sonnet-20250219,1.0,1323000,-6.3999856747653725,-39.365551738873535,0.0,0.0,0,0,0,0.786914587020874
distortion-noupspl,deepseek-chat,1.0,1323000,-6.068234695185187,-29.66632871924869,0.0,0.0,0,0,0,0.14615869522094727
distortion-noupspl,gemini-2.5-pro-preview-05-06,1.0,1323000,-6.073833288875741,-29.80955497586292,0.0011266544461250305,0.0005590214859694242,118878,0,0,1.7439026832580566
distortion-noupspl,gpt-4.1-2025-04-14,1.0,1323000,-6.850712985491699,-36.58420082417799,0.08639456331729889,0.07115327566862106,489559,0,0,0.3538327217102051
distortion-noupspl,sonar-reasoning-pro,1.0,1323000,-6.068212835613382,-29.665996587950033,0.0,0.0,0,0,0,0.936154842376709
distortion-adaa,deepseek-chat,0.0,0,0.0,0.0,0.0,0.0,0,0,0,999.0
distortion-adaa,gemini-2.5-pro-preview-05-06,0.0,1323000,-6.563197115554487,-38.25050895862793,0.0,0.0,0,0,0,0.4175848960876465
distortion-adaa,gpt-4.1-2025-04-14,0.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4386711120605469
distortion-adaa,sonar-reasoning-pro,0.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4891226291656494
distortion-adaa,deepseek-chat,0.01,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.49311041831970215
distortion-adaa,gemini-2.5-pro-preview-05-06,0.01,1323000,-6.563197000095384,-38.25269235756134,0.0,0.0,0,0,0,0.6243674755096436
distortion-adaa,gpt-4.1-2025-04-14,0.01,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,861708,0.44840121269226074
distortion-adaa,sonar-reasoning-pro,0.01,0,0.0,0.0,0.0,0.0,0,0,0,999.0
distortion-adaa,deepseek-chat,0.3,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4880998134613037
distortion-adaa,gemini-2.5-pro-preview-05-06,0.3,1323000,-6.563197114124151,-38.250508839291356,0.0,0.0,0,0,0,0.41751790046691895
distortion-adaa,gpt-4.1-2025-04-14,0.3,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,861708,0.43871140480041504
distortion-adaa,sonar-reasoning-pro,0.3,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4902181625366211
distortion-adaa,deepseek-chat,0.5,1323000,-6.563236526181186,-38.25074063514188,9.230205250787549e-06,1.3542248780140653e-05,14,0,1293296,0.2983083724975586
distortion-adaa,gemini-2.5-pro-preview-05-06,0.5,1323000,-6.563197114124151,-38.250508839291356,0.0,0.0,0,0,0,0.2512683868408203
distortion-adaa,gpt-4.1-2025-04-14,0.5,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.48987507820129395
distortion-adaa,sonar-reasoning-pro,0.5,1323000,-18.58108883633148,-49.325896046306674,0.0,0.0,0,0,1293296,0.3049156665802002
distortion-adaa,deepseek-chat,0.7,0,0.0,0.0,0.0,0.0,0,0,0,999.0
distortion-adaa,gemini-2.5-pro-preview-05-06,0.7,1323000,-6.563196997529283,-38.25269232762727,0.0,0.0,0,0,0,0.759913444519043
distortion-adaa,gpt-4.1-2025-04-14,0.7,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4374971389770508
distortion-adaa,sonar-reasoning-pro,0.7,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.481036901473999
distortion-adaa,claude-3-7-sonnet-20250219,1.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.31057310104370117
distortion-adaa,deepseek-chat,1.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.48861265182495117
distortion-adaa,gemini-2.5-pro-preview-05-06,1.0,1323000,-6.563197114124151,-38.250508839291356,0.0,0.0,0,0,0,0.4702589511871338
distortion-adaa,gpt-4.1-2025-04-14,1.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,861708,0.2729458808898926
distortion-adaa,sonar-reasoning-pro,1.0,1323000,-6.563236521563997,-38.25074061864753,0.0,0.0,0,0,1293296,0.4842679500579834
